"Rule","Engine","File","Line","Column","Message"
"ApexCRUDViolation","pmd","force-app\main\default\classes\NativeFormsDesignerController.cls","3732","51","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","pmd","force-app\main\default\classes\NativeFormsDesignerController.cls","3745","50","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"ApexCRUDViolation","pmd","force-app\main\default\classes\NativeFormsUserVerificationApi.cls","241","42","Validate CRUD permission before SOQL/DML operation or enforce user mode"
"EmptyCatchBlock","pmd","force-app\main\default\classes\NativeFormsSubmissionLogsController.cls","522","15","Avoid empty catch blocks"
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1444","3","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1445","3","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1445","27","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1446","27","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1446","3","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1447","3","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1448","3","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1448","31","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1449","3","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1449","31","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1450","31","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1450","3","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1451","3","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1451","31","This number literal will lose precision at runtime."
"no-loss-of-precision","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1452","3","This number literal will lose precision at runtime."
"no-prototype-builtins","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","71","40","Do not access Object.prototype method 'hasOwnProperty' from target object."
"no-prototype-builtins","eslint","force-app\main\default\lwc\nativeFormsDesigner\formulaExprEval.js","1811","24","Do not access Object.prototype method 'hasOwnProperty' from target object."
"no-unused-vars","eslint","force-app\main\default\lwc\nativeFormsConnect\nativeFormsConnect.js","728","18","'error' is defined but never used."
